player_name,class,position,games_played,games_started,number,height,bats,throws,hometown,high_school,player_url,team_id,year,team_name,conference_id,conference,division,season_id,prev_team_id,player_id
Daniel Shipman,So.,UT,0.0,0.0,20.0,5-11,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8875736,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Ryan Davis,Sr.,UT,2.0,2.0,17.0,6-3,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8883992,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Gavino Gomez,So.,INF,1.0,0.0,15.0,5-8,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8884975,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Gus Weaks,Sr.,INF,0.0,0.0,2.0,5-11,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8885073,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
David Kedrow,Sr.,C,2.0,2.0,25.0,6-2,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8874951,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Easton Rogers,Sr.,UT,1.0,1.0,26.0,6-0,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8875909,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Amrbose Horwath,So.,P,0.0,0.0,34.0,6-1,LEFT,LEFT,,,https://stats.ncaa.org/players/8884160,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Broc Shoemaker,Jr.,P,0.0,0.0,36.0,6-0,LEFT,LEFT,,,https://stats.ncaa.org/players/8878912,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Jaxon Clark,Jr.,P,1.0,1.0,29.0,6-2,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8881182,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Tyler Pfirrman,So.,P,0.0,0.0,47.0,6-6,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8887151,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Rolando Jimenez,So.,INF,2.0,2.0,8.0,5-7,RIGHT,RIGHT,,,https://stats.ncaa.org/players/8889346,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
Brooks Tom,So.,INF,0.0,0.0,99.0,-,,,,,https://stats.ncaa.org/players/9116029,597209.0,2025,Adrian,873.0,Michigan Intercol. Ath. Assn.,3.0,16779.0,4.0,
