"player_name","class","position","games_played","games_started","number","height","bats","throws","hometown","high_school","player_id","player_url","team_id","year","team_name","conference_id","conference","division","season_id","prev_team_id"
"Adam Vaughn","Fr.","P",1,0,38,"-","","","","","7995254","https://stats.ncaa.org/players/7995254",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Diego Johnson","Jr.","3B",54,54,4,"-","","","","","7824097","https://stats.ncaa.org/players/7824097",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Tre Jones","Jr.","OF",53,49,3,"6-4","LEFT","LEFT","Houston, TX","Jersey Village HS","7824099","https://stats.ncaa.org/players/7824099",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Brendan Ryan","Sr.","OF",54,54,10,"-","","","","","7824102","https://stats.ncaa.org/players/7824102",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Leo Markotic","Sr.","2B",53,48,18,"-","","","","","7824103","https://stats.ncaa.org/players/7824103",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Hayden Thomas","Sr.","P",16,8,34,"-","","","","","7824110","https://stats.ncaa.org/players/7824110",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"James Trimble","Fr.","P",9,1,16,"6-0","RIGHT","RIGHT","Galveston, TX","Ball","7995242","https://stats.ncaa.org/players/7995242",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Jaime Ramirez Jr.","Jr.","P",16,1,22,"-","","","","","7824106","https://stats.ncaa.org/players/7824106",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Colin Purcell","Jr.","P",15,13,8,"-","","","","","7824109","https://stats.ncaa.org/players/7824109",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Tucker McEnroe","Jr.","SS",0,0,5,"6-2","RIGHT","RIGHT","Spring, TX","","7824111","https://stats.ncaa.org/players/7824111",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Christian Smith-Johnson","Fr.","OF",45,39,23,"6-1","RIGHT","RIGHT","N Richland Hills, TX","","7995245","https://stats.ncaa.org/players/7995245",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Samuel Feltz","Jr.","P",12,0,29,"6-1","RIGHT","RIGHT","Saint Charles, MO","","7995246","https://stats.ncaa.org/players/7995246",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Dalton LeBlanc","Jr.","P",6,0,31,"-","","","","","7995247","https://stats.ncaa.org/players/7995247",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Sean Curtis","Jr.","INF",27,15,32,"-","","","","","7995248","https://stats.ncaa.org/players/7995248",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
"Josh Caraway","Jr.","C",23,14,13,"-","","","","","7824119","https://stats.ncaa.org/players/7824119",548068,2023,"A&M-Corpus Christi",914,"Southland",1,16340,26172
