Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
Adrian,167.0,Michigan Intercol. Ath. Assn.,408.0,399.0,89.0,9.0,3.0,0.0,21.0,220.0,181.0,4.191071991470704,420.0,155.0,52.0,317.0,1829.0,3679.0,2024,3.9926470588235294,0.0,4.852941176470588,6.99264705882353,8.801470588235293,3.4191176470588234,0.463235294117647,8.47457627118644,17.331875341716785,8.857299070530345,4.761904761904762,5.4185128895728525,5.672255948465866,0.98503814058566,99.1022884351396,135.5398641320967,Adrian,118.436,-0.9218553025156132,0.9090812011609756,1.1327702924275365,-1.7228872381643554,3
Albertus Magnus,102.0,Great Northeast,280.4,417.0,97.0,10.0,4.0,2.0,27.0,315.0,247.0,1.6778857028311858,397.0,141.0,50.0,161.0,1461.0,3780.0,2024,7.927960057061342,50.0,10.11055634807418,5.167617689015692,13.384450784593438,4.525677603423681,0.8666191155492154,9.650924024640657,11.019849418206707,1.36892539356605,6.367924528301887,6.928190940536462,6.967465246144745,1.2047950171037831,112.28770102622698,87.03517295256023,Albertus Magnus,-70.60199999999999,-9.915003863625474,-6.245694237391222,0.9275735332173574,-4.443489432214518,3
Albion,134.0,Michigan Intercol. Ath. Assn.,310.0,369.0,78.0,11.0,0.0,0.0,19.0,279.0,236.0,-0.047809892131414844,322.0,188.0,85.0,270.0,1564.0,5122.0,2024,6.851612903225806,0.0,8.1,7.838709677419355,10.712903225806453,5.458064516129032,0.5516129032258065,12.020460358056265,17.263427109974426,5.242966751918161,5.571847507331378,6.478032181160456,6.620441399927679,0.994036121334336,99.64216728006016,89.98202881642155,Albion,-1.3269999999999949,-4.310045102387109,-3.801144101917988,1.0360669524121948,-0.35886224936304023,3
Albright,149.0,MAC Commonwealth,312.90000000000003,417.0,80.0,11.0,22.0,3.0,25.0,303.0,250.0,-0.5488088490273046,395.0,162.0,60.0,219.0,1591.0,3971.0,2024,7.190795781399808,13.636363636363635,8.715244487056566,6.299137104506231,11.99424736337488,4.659635666347075,0.7190795781399807,10.182275298554368,13.76492771841609,3.582652419861722,5.952380952380952,6.548595795218333,6.655969725816422,0.9966238312518652,99.7974298751119,84.71532578256331,Albright,-31.912999999999993,-8.411521809064494,-7.013098898895027,0.9860327182703599,-1.5175732108697346,3
Alfred,95.0,Empire 8,211.9,455.0,71.0,34.0,0.0,0.0,15.0,575.0,441.0,-1.162990308970502,282.0,316.0,80.0,192.0,1550.0,4552.0,2024,18.73053327041057,0.0,24.421897121283624,8.154789995280792,19.32515337423313,13.421425200566304,0.6370929683813119,20.387096774193548,12.387096774193548,-8.0,5.05050505050505,9.495745953633776,9.772194850874055,1.02902316802467,101.7413900814802,-94.55503696187724,Alfred,-374.478,-13.720764788940773,-10.835816216270269,0.5001340495057041,-16.598358286548276,3
Alfred St.,97.0,AMCC,333.5,428.0,111.0,8.0,1.0,0.0,23.0,276.0,212.0,4.643781966075494,348.0,110.0,46.0,259.0,1587.0,3964.0,2024,5.7211394302848575,0.0,7.448275862068965,6.989505247376312,11.550224887556222,2.9685157421289357,0.6206896551724138,6.931316950220542,16.320100819155638,9.388783868935096,6.199460916442049,5.527884674268741,5.581140898799452,1.1177545291374178,107.06527174824507,114.50358843516217,Alfred St.,18.660000000000007,-7.628683231983521,-5.091432938811108,0.9741548498359005,-2.7396456964475444,3
Allegheny,146.0,PAC,335.1,358.0,60.0,7.0,22.0,12.0,15.0,237.0,199.0,0.48376164552000833,344.0,161.0,64.0,254.0,1585.0,3639.0,2024,5.344673231871083,54.54545454545454,6.365264100268576,6.821844225604297,9.615040286481648,4.32408236347359,0.4028648164726947,10.157728706624605,16.025236593059937,5.867507886435332,4.178272980501393,5.861532532524035,6.194314727855969,0.9298922162498402,95.79353297499041,110.73135438237895,Allegheny,43.49400000000001,-3.3532027914194438,-0.7060415147280577,1.0425699762738332,-2.510244075428548,3
Alma,161.0,Michigan Intercol. Ath. Assn.,354.2,411.0,80.0,15.0,5.0,5.0,25.0,291.0,248.0,1.4130447369740438,375.0,181.0,84.0,311.0,1724.0,4416.0,2024,6.301524562394127,100.0,7.3941276115189165,7.90231507622812,10.44325239977414,4.599096555618295,0.6352343308865047,10.498839907192576,18.039443155452435,7.54060324825986,6.25,6.187243306640866,6.23388712607068,1.0600783317629472,103.60469990577683,102.68491757421066,Alma,9.785000000000009,-6.194298720387957,-4.110471207610448,1.1447596729535603,-1.3005324001653493,3
Alvernia,199.0,MAC Commonwealth,381.3,426.0,81.0,5.0,37.0,18.0,24.0,254.0,213.0,1.352086695047626,420.0,179.0,79.0,318.0,1822.0,3471.0,2024,5.027537372147915,48.64864864864865,5.995279307631786,7.5059008654602675,10.05507474429583,4.225019669551534,0.5664830841856806,9.82436882546652,17.45334796926454,7.628979143798022,5.405405405405405,5.961431079665569,6.137378043564507,1.0088352474238618,100.53011484543171,119.9846871814096,Alvernia,68.712,-3.386406750152905,-1.1649738918816592,1.0030140712710625,-2.2112566587640616,3
Amherst,110.0,NESCAC,292.1,327.0,49.0,9.0,4.0,3.0,20.0,219.0,195.0,0.2728347627899379,315.0,167.0,51.0,219.0,1401.0,4108.0,2024,6.008216364258815,75.0,6.747689147552207,6.747689147552207,10.075316672372475,5.145498117083191,0.6162273194111605,11.92005710206995,15.631691648822269,3.711634546752318,5.970149253731343,6.4108368989438045,6.499929809608675,0.9868996060293056,99.21397636175834,103.10827532104594,Amherst,29.62700000000001,-2.150567161425038,-0.8904906375762678,1.0145561996841272,-1.2292215696869644,3
