Player,player_id,B/T,Team,Conference,App,GS,ERA,IP,IP_float,H,R,ER,BB,SO,HR-A,2B-A,3B-A,HB,BF,FO,GO,Pitches,gmLI,K9,BB9,HR9,RA9,H9,IR-A%,K%,BB%,K-BB%,HR/FB,FIP,xFIP,ERA+,WAR,Yr,Inh Run,Inh Run Score,Clutch,pWPA,pREA,pWPA/LI,Division,Season
Broc Shoemaker,d3d-8015120,L/L,Adrian,Michigan Intercol. Ath. Assn.,1,0,0.0,0.2,0.6666666666666666,0,0,0,0,1,0,0,0,0,2,1,0,6,0.0,13.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,2.166222586592374,3.3587155613013264,200.0,0.019409433071509333,Jr,0,0,,0.0,1.367,0.0,3,2025
Jaxon Clark,8881182,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,1,0.0,6.0,6.0,5,0,0,4,7,0,0,0,0,26,3,7,93,0.0,10.5,6.0,0.0,0.0,7.5,0.0,26.923076923076923,15.384615384615385,11.538461538461538,0.0,4.832889253259041,5.2303869114953585,200.0,0.16973341610842693,Jr,0,0,0.1268228787927423,0.3115999999999996,17.645999999999997,0.13570871599161044,3,2025
Lincoln Lipinski,d3d-8015094,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,3.0,3.0,3.0,1,1,1,0,2,1,0,0,1,10,3,3,27,0.5333333333333333,6.0,0.0,3.0,3.0,3.0,0.0,20.0,0.0,20.0,25.0,9.166222586592374,5.892883008555887,150.45103353865306,0.03665154072245433,Jr,0,0,0.02707941176470599,0.0293999999999999,7.8229999999999995,0.07019999999999955,3,2025
Daniel Gutierrez,d3d-7577076,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,1,9.0,3.0,3.0,6,3,3,1,2,0,2,0,0,16,6,0,56,0.0,6.0,3.0,0.0,9.0,18.0,0.0,12.5,6.25,6.25,0.0,4.832889253259041,6.42287988620431,51.35310061595919,0.08324464538705371,Sr,0,0,-0.0075502409164112105,-0.2119999999999999,8.062,-0.17872590971120378,3,2025
Landon Kozlowski,8876555,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,1,2.45,3.2,3.6666666666666665,4,1,1,1,1,0,2,0,2,18,3,6,58,0.0,2.454545454545455,2.454545454545455,0.0,2.454545454545455,9.81818181818182,0.0,5.555555555555555,5.555555555555555,0.0,0.0,7.075313495683283,7.725764209160894,159.53501072323334,0.08013599431309343,So,0,0,0.05558122553774726,0.06200000000000011,10.597,0.006201991245469638,3,2025
Raymond Keane,d3d-6923592,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,27.0,1.0,1.0,0,3,3,3,1,0,0,0,1,8,0,2,30,2.3,9.0,27.0,0.0,27.0,0.0,0.0,12.5,37.5,-25.0,0.0,15.166222586592374,15.166222586592374,-245.9406981521224,-0.03333911669576199,Sr,0,0,0.07337110275525215,0.029800000000000104,0.9409999999999998,-0.04507996351474572,3,2025
Ben Bates,8881677,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,0.0,1.1,1.3333333333333333,1,0,0,0,0,0,0,0,0,5,1,3,17,1.75,0.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,0.0,5.166222586592374,5.76246907394685,200.0,0.05501923187121725,So,0,0,0.02723809523809523,0.016,2.1079999999999997,0.004190476190476199,3,2025
Cody Keller,d3d-9116021,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,9.0,1.0,1.0,0,1,1,1,2,0,0,0,1,5,0,1,0,0.0,18.0,9.0,0.0,9.0,0.0,0.0,40.0,20.0,20.0,0.0,7.166222586592374,7.166222586592374,51.35310061595919,0.01653768786679183,So,0,0,,0.0,-0.17100000000000015,0.0,3,2025
Griffin Firestine,8891942,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,20.25,1.1,1.3333333333333333,2,4,3,2,0,0,1,0,0,8,1,2,20,1.7,0.0,13.5,0.0,27.0,13.5,0.0,0.0,25.0,-25.0,0.0,9.666222586592374,10.26246907394685,-134.45552361409182,0.013728105981191233,Sr,0,0,0.037056474914206855,-0.17599999999999982,0.2889999999999997,-0.15267691287041113,3,2025
Sean Parker,9216941,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,7.71,2.1,2.3333333333333335,5,3,2,2,2,0,1,2,0,15,4,1,58,0.3333333333333333,7.7142857142857135,7.7142857142857135,0.0,11.57142857142857,19.285714285714285,0.0,13.333333333333334,13.333333333333334,0.0,0.0,6.023365443735231,7.386214557688319,72.65915619433838,0.05263009927418614,Fr,0,0,-0.003571428571426241,-0.0092000000000001,-0.09400000000000053,-0.06500000000000311,3,2025
Logan Hunt,d3d-9216936,R/R,Adrian,Michigan Intercol. Ath. Assn.,1,0,16.2,1.2,1.6666666666666665,1,3,3,2,1,0,0,0,0,7,2,1,33,0.8,5.4,10.8,0.0,16.200000000000003,5.4,0.0,14.285714285714285,28.57142857142857,-14.285714285714285,0.0,7.5662225865923745,8.520216966359536,-67.5644188912734,0.03280782875009486,Jr,0,0,-0.049973529411764736,-0.043000000000000003,3.8449999999999998,-0.06385,3,2025
Dominic Yeager,9305617,L/L,Albright,MAC Commonwealth,1,1,0.0,4.0,4.0,5,0,0,0,2,0,0,0,0,16,4,5,0,0.0,4.5,0.0,0.0,0.0,11.25,0.0,12.5,0.0,12.5,0.0,4.166222586592374,4.961217903065009,200.0,0.11730458321353049,Sr,0,0,,,,,3,2025
John O'Connor,d3d-7127013,0,Albright,MAC Commonwealth,1,1,0.0,4.0,4.0,3,0,0,3,6,0,0,0,1,20,0,6,0,0.0,13.5,6.75,0.0,0.0,6.75,0.0,30.0,15.0,15.0,0.0,5.166222586592374,5.166222586592374,200.0,0.10069395615891225,Sr,0,0,,,,,3,2025
Josh Tudor,8885076,0,Albright,MAC Commonwealth,1,0,3.0,3.0,3.0,3,3,1,3,5,0,2,0,0,16,2,2,0,0.0,15.0,9.0,0.0,9.0,9.0,0.0,31.25,18.75,12.5,0.0,4.832889253259041,5.362886130907464,150.79616807706938,0.06420943493278174,Jr,0,0,,0.0,5.8229999999999995,0.0,3,2025
