Team,App,Conference,IP,H,2B-A,3B-A,Inh Run,Inh Run Score,HR-A,R,ER,WAR,FO,BB,HB,SO,BF,Pitches,Season,ERA,IR-A%,RA9,K9,H9,BB9,HR9,BB%,K%,K-BB%,HR/FB,FIP,xFIP,iPF,PF,ERA+,pitch_team,pREA,pWPA,pWPA/LI,li,Clutch,Division
Adrian,167.0,Michigan Intercol. Ath. Assn.,414.7,439.0,91.0,15.0,7.0,2.0,24.0,311.0,270.0,2.5384071121085445,436.0,212.0,66.0,372.0,1974.0,5438.0,2023,5.859657583795515,28.57142857142857,6.749457439112612,8.073306004340488,9.527369182541596,4.600916325054256,0.5208584518929347,10.739614994934144,18.84498480243161,8.105369807497468,5.217391304347826,5.84567484680778,6.045273712532815,0.98503814058566,99.1022884351396,106.04538227388849,Adrian,36.58600000000001,-4.210194164506226,-2.304534442699971,0.9427950329444678,-2.161117175507285,3
Albertus Magnus,119.0,Great Northeast,240.5,332.0,86.0,10.0,1.0,0.0,23.0,306.0,225.0,1.3625593229371007,302.0,150.0,84.0,204.0,1327.0,3321.0,2023,8.41995841995842,0.0,11.451143451143452,7.634095634095635,12.424116424116425,5.613305613305614,0.8607068607068608,11.303692539562924,15.373021853805577,4.069329314242653,7.076923076923077,7.341995860370173,7.258487192967623,1.2047950171037831,112.28770102622698,80.84635522623257,Albertus Magnus,-99.062,-11.4323356065101,-8.053726943549508,0.9764694200264585,-3.6541006361409316,3
Albion,144.0,Michigan Intercol. Ath. Assn.,316.8,403.0,97.0,11.0,5.0,2.0,18.0,311.0,253.0,0.9014486384609831,302.0,180.0,79.0,293.0,1618.0,5115.0,2023,7.1875,40.0,8.835227272727272,8.323863636363637,11.448863636363637,5.113636363636363,0.5113636363636364,11.124845488257108,18.10877626699629,6.983930778739182,5.625,6.217839798714111,6.346075744292003,0.994036121334336,99.64216728006016,85.37898039926965,Albion,-41.175999999999995,-6.8868497091261025,-4.664404553028169,0.9046758557393252,-2.9481007055519726,3
Albright,147.0,MAC Commonwealth,288.6,444.0,83.0,30.0,14.0,6.0,37.0,407.0,342.0,-3.1720902312788315,391.0,192.0,83.0,167.0,1602.0,3639.0,2023,10.665280665280665,42.857142857142854,12.692307692307692,5.207900207900208,13.846153846153845,5.987525987525987,1.1538461538461537,11.985018726591761,10.424469413233458,-1.5605493133583028,8.644859813084112,8.244282762657075,7.850350451015579,0.9966238312518652,99.7974298751119,30.18247511422436,Albright,-152.308,-11.570813434275154,-9.593037557512451,0.7721809904262621,-5.391549706009528,3
Alfred St.,121.0,AMCC,339.0,346.0,70.0,7.0,7.0,5.0,25.0,214.0,176.0,4.816189731949726,376.0,131.0,32.0,250.0,1535.0,3520.0,2023,4.672566371681416,71.42857142857143,5.68141592920354,6.63716814159292,9.185840707964601,3.4778761061946906,0.6637168141592921,8.534201954397394,16.286644951140065,7.752442996742671,6.234413965087282,5.802553081989341,5.859012191237032,1.1177545291374178,107.06527174824507,130.65160244316863,Alfred St.,70.77300000000001,-1.83114682206829,0.9039497330083491,1.0058858961425918,-2.724381681692031,3
Allegheny,129.0,PAC,301.1,317.0,55.0,6.0,10.0,5.0,17.0,215.0,172.0,1.3487815296707182,281.0,173.0,42.0,302.0,1427.0,3347.0,2023,5.141149119893723,50.0,6.426436399867153,9.026901361673861,9.47525738957157,5.1710395217535705,0.5081368316174029,12.12333566923616,21.163279607568324,9.039943938332163,5.704697986577181,5.7464422043714825,5.861834660912132,0.9298922162498402,95.79353297499041,114.71874460638061,Allegheny,53.82100000000001,-2.639111088856269,-0.221569512455072,1.049746094199995,-2.2924775542001457,3
Alma,196.0,Michigan Intercol. Ath. Assn.,359.4,444.0,87.0,11.0,26.0,18.0,11.0,322.0,240.0,2.6661164782092466,384.0,193.0,83.0,274.0,1782.0,4933.0,2023,6.010016694490818,69.23076923076923,8.063439065108515,6.861435726210352,11.118530884808015,4.833055091819699,0.27545909849749584,10.830527497194165,15.375982042648708,4.545454545454543,2.7848101265822782,6.053260997344826,6.598587698842418,1.0600783317629472,103.60469990577683,107.82231515792643,Alma,-14.98399999999999,-7.272897189280267,-4.428225620363576,1.0006784524363053,-2.839740599527822,3
Alvernia,219.0,MAC Commonwealth,381.6,426.0,74.0,9.0,9.0,2.0,22.0,229.0,182.0,4.096151003850031,394.0,145.0,49.0,322.0,1763.0,2573.0,2023,4.292452830188679,22.22222222222222,5.400943396226415,7.59433962264151,10.047169811320753,3.4198113207547167,0.5188679245283019,8.224617129892229,18.264322178105502,10.039705048213273,5.288461538461538,5.463301491109766,5.6493934508236,1.0088352474238618,100.53011484543171,132.15170671465765,Alvernia,95.20100000000001,-1.908070120169463,0.12568088658400275,0.9757245507807073,-2.0812226618142735,3
Amherst,128.0,NESCAC,291.4,307.0,60.0,8.0,6.0,1.0,18.0,234.0,187.0,-1.4135761335366583,320.0,189.0,52.0,229.0,1417.0,4215.0,2023,5.775566231983528,16.666666666666664,7.227179135209335,7.0727522306108455,9.48181194234729,5.837336993822924,0.5559368565545643,13.338038108680312,16.16090331686662,2.8228652081863075,5.325443786982249,6.588722181221408,6.781147754691807,0.9868996060293056,99.21397636175834,107.49796493036601,Amherst,8.82000000000001,-3.043651797574841,-0.9489676512933073,0.9913656301954137,-2.121193049128483,3
Anderson (IN),138.0,HCAC,390.4,486.0,109.0,13.0,0.0,0.0,28.0,325.0,271.0,2.632955456253656,432.0,211.0,68.0,347.0,1933.0,2680.0,2023,6.247438524590164,0.0,7.492315573770492,7.9994877049180335,11.203893442622952,4.864241803278689,0.6454918032786886,10.91567511639938,17.951370926021728,7.035695809622348,6.086956521739131,6.174967427460593,6.253793374223328,1.0980136982199715,105.8808218931983,106.24072028667982,Anderson (IN),1.3160000000000123,-9.427562161431636,-5.9015900831855115,1.03298604517534,-3.2249244573196245,3
