Unnamed: 0,year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_url,player_id
1,2023,AUM,Gulf South,2,32,Micah Christian,Jr,P,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-3,R/R,548400,858,http://stats.ncaa.org/players/7808505?year_stat_category_id=15001,7808505.0
2,2023,AUM,Gulf South,2,8,Cole Kehoe,So,INF,10,1,9.69,13.0,19,17,14,7,15,0,70,57,2,0,1,1,2,5,0,0,0,0,1,239,7,16,0,2,0,4,6-3,L/R,548400,858,http://stats.ncaa.org/players/7808506?year_stat_category_id=15001,7808506.0
3,2023,AUM,Gulf South,2,16,Mason Elmore,So,P,9,0,11.0,9.0,19,13,11,4,3,0,54,43,6,0,0,0,0,4,0,0,0,0,3,154,11,11,0,1,0,2,5-8,L/L,548400,858,http://stats.ncaa.org/players/7808508?year_stat_category_id=15001,7808508.0
4,2023,AUM,Gulf South,2,19,Clayton Phillips,So,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,R/R,548400,858,http://stats.ncaa.org/players/7808509?year_stat_category_id=15001,7808509.0
5,2023,AUM,Gulf South,2,28,Luke Turner,Jr,P,6,6,7.14,29.0,39,27,23,8,19,0,140,120,3,0,0,7,1,8,0,0,0,2,2,458,24,40,0,4,0,5,6-1,R/R,548400,858,http://stats.ncaa.org/players/7808510?year_stat_category_id=15001,7808510.0
6,2023,AUM,Gulf South,2,13,Jackson Gantt,So,P,1,0,0.0,1.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,5-11,R/R,548400,858,http://stats.ncaa.org/players/7808511?year_stat_category_id=15001,7808511.0
7,2023,AUM,Gulf South,2,2,Nick Freeman,So,OF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-8,L/R,548400,858,http://stats.ncaa.org/players/7808512?year_stat_category_id=15001,7808512.0
8,2023,AUM,Gulf South,2,34,Clayton Ashberry,So,P,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,R/R,548400,858,http://stats.ncaa.org/players/7808513?year_stat_category_id=15001,7808513.0
9,2023,AUM,Gulf South,2,39,Clay Slagle,So,P,15,13,5.19,69.1,68,42,40,23,39,0,305,266,6,2,0,9,4,7,0,1,0,6,3,0,79,80,3,5,1,16,6-2,R/R,548400,858,http://stats.ncaa.org/players/7808514?year_stat_category_id=15001,7808514.0
10,2023,AUM,Gulf South,2,4,Andrew Cronan,Sr,P,13,12,6.16,61.1,81,52,42,21,33,0,290,253,6,0,0,9,1,13,1,0,0,1,2,903,71,65,3,6,0,6,6-0,R/R,548400,858,http://stats.ncaa.org/players/7808516?year_stat_category_id=15001,7808516.0
11,2023,AUM,Gulf South,2,21,Zach Dew,So,INF,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,R/R,548400,858,http://stats.ncaa.org/players/7808517?year_stat_category_id=15001,7808517.0
12,2023,AUM,Gulf South,2,31,Kasey Clark,Jr,1B,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-2,L/R,548400,858,http://stats.ncaa.org/players/7808518?year_stat_category_id=15001,7808518.0
13,2023,AUM,Gulf South,2,33,Michael Myers,Jr,P,16,0,6.57,24.2,38,21,18,5,21,0,115,105,9,0,0,3,2,1,1,3,3,4,0,388,26,22,2,4,0,5,5-8,R/R,548400,858,http://stats.ncaa.org/players/7808519?year_stat_category_id=15001,7808519.0
